topico,fecha,diario,seccion,freq
discurso-de-odio,2022-09-02,ambito,opinion,0
copitos,2022-09-02,clarin,sociedad,0
discurso-de-odio,2022-09-02,clarin,sociedad,0
copitos,2022-09-02,ambito,negocios,0
discurso-de-odio,2022-09-02,ambito,negocios,0
copitos,2022-09-02,paginadoce,las12,0
discurso-de-odio,2022-09-02,paginadoce,las12,0
copitos,2022-09-02,todonoticias,policiales,0
discurso-de-odio,2022-09-02,todonoticias,policiales,0
copitos,2022-09-02,lanacion,salud,0
discurso-de-odio,2022-09-02,lanacion,salud,0
copitos,2022-09-02,perfil,salud,0
discurso-de-odio,2022-09-02,perfil,salud,0
copitos,2022-09-02,paginadoce,internacional,0
discurso-de-odio,2022-09-02,paginadoce,internacional,2
copitos,2022-09-02,perfil,cultura,0
discurso-de-odio,2022-09-02,perfil,cultura,0
copitos,2022-09-03,perfil,deportes,0
discurso-de-odio,2022-09-03,perfil,deportes,0
copitos,2022-09-03,perfil,espectaculos,0
discurso-de-odio,2022-09-03,perfil,espectaculos,0
copitos,2022-09-03,perfil,politica,0
discurso-de-odio,2022-09-03,perfil,politica,10
copitos,2022-09-03,perfil,sociedad,0
discurso-de-odio,2022-09-03,perfil,sociedad,0
copitos,2022-09-03,lanacion,deportes,0
discurso-de-odio,2022-09-03,lanacion,deportes,0
copitos,2022-09-03,perfil,opinion,0
discurso-de-odio,2022-09-03,perfil,opinion,0
copitos,2022-09-03,paginadoce,sociedad,0
discurso-de-odio,2022-09-03,paginadoce,sociedad,0
copitos,2022-09-03,paginadoce,rosario12,0
discurso-de-odio,2022-09-03,paginadoce,rosario12,4
copitos,2022-09-03,paginadoce,politica,0
discurso-de-odio,2022-09-03,paginadoce,politica,8
copitos,2022-09-03,clarin,politica,0
discurso-de-odio,2022-09-03,clarin,politica,19
copitos,2022-09-02,clarin,cartas-al-pais,0
discurso-de-odio,2022-09-02,clarin,cartas-al-pais,0
copitos,2022-09-03,infobae,internacional,0
discurso-de-odio,2022-09-03,infobae,internacional,6
copitos,2022-09-03,perfil,internacional,0
